school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Bethany,DS,27,99,1,0.01,2,28,-.036,23,0.23,0,0.00,416,24,133,1.34,0,0,0,0.00,1.0,0.0
Bethany,DS,15,40,0,0.00,1,5,-.200,4,0.10,4,0.10,69,6,30,0.75,0,0,0,0.00,4.0,0.1
Bethany,OH,27,102,219,2.15,110,834,.131,12,0.12,33,0.32,258,11,149,1.46,2,18,20,0.20,263.0,2.6
Bethany,OH,11,17,15,0.88,18,72,-.042,2,0.12,0,0.00,31,0,18,1.06,1,3,4,0.24,17.5,1.0
Bethany,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,S,14,53,5,0.09,6,46,-.022,232,4.38,19,0.36,6,1,120,2.26,0,0,0,0.00,24.0,0.5
Bethany,RS,27,104,203,1.95,110,692,.134,207,1.99,10,0.10,28,1,143,1.38,10,33,43,0.41,239.5,2.3
Bethany,OH,27,100,160,1.60,119,645,.064,7,0.07,1,0.01,138,6,97,0.97,5,26,31,0.31,179.0,1.8
Bethany,DS,3,4,0,0.00,0,0,-,0,0.00,0,0.00,1,0,0,0.00,0,0,0,0.00,0.0,0.0
Bethany,S,11,32,4,0.13,0,13,.308,109,3.41,6,0.19,3,1,25,0.78,0,0,0,0.00,10.0,0.3
Bethany,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,MB,27,100,159,1.59,89,601,.116,3,0.03,0,0.00,59,6,69,0.69,6,36,42,0.42,183.0,1.8
Bethany,S,1,1,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Bethany,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,RS,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,0.50,0,0,0,0.00,0.0,0.0
Bethany,DS,5,14,0,0.00,2,4,-.500,0,0.00,3,0.21,22,3,15,1.07,0,0,0,0.00,3.0,0.2
Bethany,MB,27,103,162,1.57,69,477,.195,4,0.04,1,0.01,9,1,37,0.36,18,66,84,0.82,214.0,2.1
Bethany,RS,22,70,0,0.00,0,2,.000,0,0.00,23,0.33,1,0,21,0.30,0,0,0,0.00,23.0,0.3
Bethany,OH,3,4,5,1.25,3,12,.167,0,0.00,0,0.00,0,0,3,0.75,1,1,2,0.50,6.5,1.6
Bethany,RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,DS,26,94,5,0.05,5,38,.000,31,0.33,18,0.19,307,18,156,1.66,0,0,0,0.00,23.0,0.2
Bethany,OH,8,14,5,0.36,3,22,.091,1,0.07,0,0.00,1,0,3,0.21,3,5,8,0.57,10.5,0.8
Bethany,MB,25,93,44,0.47,30,139,.101,1,0.01,0,0.00,3,0,21,0.23,11,48,59,0.63,79.0,0.8
Bethany,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,DS,6,13,0,0.00,0,2,.000,4,0.31,0,0.00,22,0,27,2.08,0,0,0,0.00,0.0,0.0
Bethany,S,18,73,6,0.08,1,39,.128,260,3.56,17,0.23,2,0,145,1.99,0,0,0,0.00,23.0,0.3
Bethany,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,DS,26,100,1,0.01,3,67,-.030,27,0.27,22,0.22,716,29,493,4.93,0,0,0,0.00,23.0,0.2
Bethany,S,1,2,0,0.00,0,0,-,1,0.50,0,0.00,1,0,0,0.00,0,0,0,0.00,0.0,0.0
Bethany,RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),DS,29,101,2,0.02,4,11,-.182,12,0.12,16,0.16,298,22,210,2.08,0,0,0,0.00,18.0,0.2
Bethel (KS),OH,29,106,367,3.46,152,1021,.211,7,0.07,2,0.02,104,10,102,0.96,7,32,39,0.37,392.0,3.7
Bethel (KS),S,29,106,9,0.08,7,51,.039,625,5.90,8,0.08,15,1,239,2.25,0,10,10,0.09,22.0,0.2
